"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_6","pytutils.files","1615562093795537953","187","121528664526","0.3103448275862069","8","119","7","99","1","20"
"Seed_Prob_0_0","pytutils.pythree","1615561308856282587","274","121231315435","0.42857142857142855","5","29","5","29","0","0"
"Seed_Prob_0_5","pytutils.debug","1615561967073845326","0","7791113257","1.0","1","39","0","0","1","39"
"Seed_Prob_0_4","pytutils.files","1615561827746050546","190","121648865904","0.3448275862068966","7","82","6","64","1","18"
"Seed_Prob_0_6","pytutils.debug","1615562096966010994","0","8442707672","1.0","3","69","0","0","3","69"
"Seed_Prob_0_7","pytutils.lazy.lazy_import","1615562215726388234","152","122192512391","0.3879310344827586","12","100","12","100","0","0"
"Seed_Prob_0_1","pytutils.lazy.lazy_import","1615561537926464066","117","121561570111","0.4224137931034483","13","99","13","99","0","0"
"Seed_Prob_0_5","pytutils.rand","1615562003290475232","0","4526700259","1.0","3","7","3","7","0","0"
"Seed_Prob_0_3","pytutils.tlds","1615561707590424912","247","121428412996","0.9166666666666666","8","45","8","45","0","0"
"Seed_Prob_0_6","pytutils.props","1615562075022375146","256","121097772975","0.6470588235294118","7","47","7","47","0","0"
"Seed_Prob_0_7","pytutils.env","1615562191260141380","192","121342628872","0.5","8","65","7","59","1","6"
"Seed_Prob_0_1","pytutils.env","1615561507993029411","223","121279424241","0.5","7","48","7","48","0","0"
"Seed_Prob_0_3","pytutils.lazy.simple_import","1615561737518238804","327","121972575760","0.6","3","42","0","0","3","42"
"Seed_Prob_0_2","pytutils.files","1615561591518636349","165","123477772202","0.2413793103448276","8","103","7","97","1","6"
"Seed_Prob_0_8","pytutils.urls","1615562358466839118","311","121026614431","0.75","4","19","4","19","0","0"
"Seed_Prob_0_6","pytutils.memo","1615562053473439608","233","121520801131","0.25","9","60","9","60","0","0"
"Seed_Prob_0_8","pytutils.trees","1615562365959728725","151","121632326775","0.75","9","68","9","68","0","0"
"Seed_Prob_0_7","pytutils.mappings","1615562211723070072","102","121966925902","0.6","19","312","16","235","3","77"
"Seed_Prob_0_1","pytutils.mappings","1615561539442599517","99","123325675726","0.624","15","239","14","215","1","24"
"Seed_Prob_0_3","pytutils.timers","1615561709921667778","0","6923708090","1.0","10","125","8","111","2","14"
"Seed_Prob_0_0","pytutils.log","1615561353663627648","172","121698354521","0.7647058823529411","8","65","8","65","0","0"
"Seed_Prob_0_2","pytutils.env","1615561600300327587","191","121798209537","0.5","9","83","7","72","2","11"
"Seed_Prob_0_9","pytutils.trees","1615562470935197187","208","121201393713","0.75","6","57","6","57","0","0"
"Seed_Prob_0_2","pytutils.python","1615561594541127997","159","122136675533","0.3","8","156","0","0","8","156"
"Seed_Prob_0_8","pytutils.pretty","1615562344412099332","152","121644294376","0.6470588235294118","8","39","8","39","0","0"
"Seed_Prob_0_5","pytutils.props","1615561942941932445","241","121196402251","0.6470588235294118","7","56","7","56","0","0"
"Seed_Prob_0_4","pytutils.excs","1615561853982443998","134","123362561869","0.16666666666666666","10","261","0","0","10","261"
"Seed_Prob_0_0","pytutils.python","1615561359549236708","215","121741923313","0.3","7","83","0","0","7","83"
"Seed_Prob_0_9","pytutils.pythree","1615562425115552055","204","121331160090","0.42857142857142855","6","41","6","41","0","0"
"Seed_Prob_0_0","pytutils.env","1615561359424210961","195","121161650510","0.5","10","75","10","75","0","0"
"Seed_Prob_0_2","pytutils.log","1615561606472932379","187","121709976080","0.7647058823529411","10","69","9","62","1","7"
"Seed_Prob_0_9","pytutils.python","1615562458212590732","126","123005034605","0.3","8","220","0","0","8","220"
"Seed_Prob_0_8","pytutils.lazy.simple_import","1615562343354143108","252","122648691693","0.6","9","104","0","0","9","104"
"Seed_Prob_0_0","pytutils.lazy.lazy_import","1615561371501145558","128","123207413872","0.4396551724137931","13","107","13","107","0","0"
"Seed_Prob_0_4","pytutils.timers","1615561851327252247","0","7316879314","1.0","9","107","4","52","5","55"
"Seed_Prob_0_1","pytutils.trees","1615561510562409320","175","122604265707","0.75","8","68","8","68","0","0"
"Seed_Prob_0_0","pytutils.tlds","1615561371466678205","221","122449293482","0.9166666666666666","7","31","6","28","1","3"
"Seed_Prob_0_6","pytutils.excs","1615562102033774587","187","121710225049","0.16666666666666666","5","116","0","0","5","116"
"Seed_Prob_0_4","pytutils.path","1615561858845155129","181","124165901231","0.25","4","99","0","0","4","99"
"Seed_Prob_0_1","pytutils.pythree","1615561492652580478","307","121124968154","0.42857142857142855","5","29","5","29","0","0"
"Seed_Prob_0_7","pytutils.lazy.lazy_regex","1615562242348271588","169","122045465654","0.6041666666666666","10","90","9","76","1","14"
"Seed_Prob_0_3","pytutils.pretty","1615561707683966951","284","121480513658","0.6470588235294118","8","38","8","38","0","0"
"Seed_Prob_0_1","pytutils.python","1615561512303469450","107","122365483217","0.3","5","162","0","0","5","162"
"Seed_Prob_0_8","pytutils.path","1615562363302657360","335","121118130918","0.25","2","29","0","0","2","29"
"Seed_Prob_0_7","pytutils.lazy.simple_import","1615562216323005384","155","122110525218","0.6","10","203","0","0","10","203"
"Seed_Prob_0_1","pytutils.lazy.simple_import","1615561538864744156","193","121927328741","0.6","6","120","0","0","6","120"
"Seed_Prob_0_3","pytutils.env","1615561710254543652","235","121204187818","0.5","9","66","8","61","1","5"
"Seed_Prob_0_7","pytutils.timers","1615562213120153888","0","6912507614","1.0","5","63","4","60","1","3"
"Seed_Prob_0_1","pytutils.timers","1615561510931798900","0","6633850936","1.0","8","122","8","122","0","0"
"Seed_Prob_0_3","pytutils.mappings","1615561735607322246","99","123167867838","0.608","16","241","13","193","3","48"
"Seed_Prob_0_8","pytutils.timers","1615562330394347384","0","6725093174","1.0","7","125","6","110","1","15"
"Seed_Prob_0_6","pytutils.log","1615562070503720638","217","121973879051","0.7647058823529411","9","46","9","46","0","0"
"Seed_Prob_0_5","pytutils.excs","1615562006998795208","162","123128825935","0.16666666666666666","8","183","0","0","8","183"
"Seed_Prob_0_3","pytutils.lazy.lazy_import","1615561738034197242","113","122852907754","0.4482758620689655","15","123","15","123","0","0"
"Seed_Prob_0_6","pytutils.env","1615562075023312381","219","121884254623","0.5","8","71","6","47","2","24"
"Seed_Prob_0_6","pytutils.python","1615562099062835757","214","123182360585","0.3","2","49","0","0","2","49"
"Seed_Prob_0_7","pytutils.tlds","1615562216357592725","189","121461410152","0.9166666666666666","10","62","10","62","0","0"
"Seed_Prob_0_1","pytutils.tlds","1615561550785643875","22","18459010871","1.0","9","61","7","42","2","19"
"Seed_Prob_0_9","pytutils.lazy.simple_import","1615562478467744194","203","122814519328","0.6","8","151","0","0","8","151"
"Seed_Prob_0_0","pytutils.sets","1615561313854795696","151","121392843053","0.6666666666666666","9","80","8","72","1","8"
"Seed_Prob_0_5","pytutils.meth","1615561976267556179","0","7708267213","1.0","2","7","2","7","0","0"
"Seed_Prob_0_5","pytutils.iters","1615561977076019188","404","121927435515","0.26666666666666666","2","15","1","3","1","12"
"Seed_Prob_0_9","pytutils.timers","1615562467086671701","0","8776668564","1.0","10","147","7","83","3","64"
"Seed_Prob_0_9","pytutils.excs","1615562483345157295","199","121228523611","0.16666666666666666","1","34","0","0","1","34"
"Seed_Prob_0_7","pytutils.debug","1615562225847804866","0","15962159185","1.0","7","140","0","0","7","140"
"Seed_Prob_0_3","pytutils.iters","1615561703824915778","180","121889914169","0.26666666666666666","9","137","6","85","3","52"
"Seed_Prob_0_9","pytutils.tlds","1615562472179624546","3","6469499873","1.0","6","36","6","36","0","0"
"Seed_Prob_0_2","pytutils.excs","1615561589746495950","146","122683757151","0.16666666666666666","7","145","0","0","7","145"
"Seed_Prob_0_0","pytutils.meth","1615561313791475657","0","4357195631","1.0","4","18","4","18","0","0"
"Seed_Prob_0_7","pytutils.sets","1615562204324738422","204","122776235955","0.6666666666666666","6","58","6","58","0","0"
"Seed_Prob_0_3","pytutils.meth","1615561706637288340","0","4955186176","1.0","1","8","1","8","0","0"
"Seed_Prob_0_1","pytutils.excs","1615561550805571250","276","123012203124","0.16666666666666666","5","67","0","0","5","67"
